Rank,Movie,Release_Date,Distributor,Genre,MPAA,2008_Gross,Tickets_Sold,Inflation_Adjusted_Gross
377,This Christmas,11/21/2007,Sony/Screen Gems,Drama/Musical,PG-13,189864,26443,189861
378,Elsa & Fred,6/27/2008,Mitropoulos Films,Comedy,PG,189024,26326,189021
379,Wild Safari 3D,4/8/2005,nWave Pictures,Documentary,Not Rated,187606,26129,187606
380,Constantine's Sword,4/18/2008,First Run Features,Documentary,Not Rated,179507,25001,179507
381,Chicago 10,2/29/2008,Roadside Attractions,Documentary,R,176545,24588,176542
382,Ashes of Time Redux,10/10/2008,Sony Pictures Classics,Action/Adventure,R,173526,24168,173526
383,My Name is Bruce,10/31/2008,Image Entertainment,Horror,R,173066,24104,173067
384,In Search of a Midnight Kiss,8/1/2008,IFC First Take,Drama/Musical,Not Rated,172177,23980,172176
385,Ce qu'il faut pour vivre,8/29/2008,Films Seville,Drama/Musical,Not Rated,170543,23753,170547
386,Sleepwalking,3/14/2008,Overture Films,Drama/Musical,R,168972,23534,168974
387,Mister Lonely,4/30/2008,IFC Films,Comedy,Not Rated,165831,23096,165829
388,Haunted Castle,3/2/2001,nWave Pictures,Action/Adventure,PG,165100,22994,165097
389,Girls Rock!,3/7/2008,Shadow,Documentary,PG,159294,22186,159295
390,My Winnipeg,6/13/2008,IFC First Take,Documentary,Not Rated,156629,21815,156632
391,A Man Named Pearl,8/31/2007,Railroad Square,Documentary,G,156090,21740,156093
392,The Flyboys,8/15/2008,Self Distributed,Action/Adventure,PG-13,144110,20071,144110
393,Shelter,3/21/2008,Regent Releasing,Drama/Musical,R,142666,19870,142667
394,FLOW: For Love of Water,3/21/2008,Oscilloscope Pictures,Documentary,Not Rated,142569,19856,142566
395,Repo! The Genetic Opera,11/7/2008,Lionsgate,Drama/Musical,R,140244,19533,140247
396,Baghead,6/13/2008,Sony Pictures Classics,Drama/Musical,R,140016,19501,140017
397,Nanking,12/12/2007,ThinkFilm,Documentary,R,134970,18798,134970
398,Hounddog,9/19/2008,Empire Pictures,Drama/Musical,R,132016,18387,132019
399,Proud American,9/12/2008,Lightsource,Drama/Musical,PG,131672,18339,131674
400,The First Saturday in May,4/18/2008,Truly Indie,Documentary,PG-13,124294,17311,124293
401,Alexandra,3/28/2008,Cinema Guild,Drama/Musical,Not Rated,124085,17282,124085
402,God Tussi Great Ho,8/15/2008,Eros Entertainment,Comedy,Not Rated,121432,16913,121435
403,The Grand,3/21/2008,Anchor Bay Entertainment,Comedy,R,115879,16139,115878
404,Chop Shop,2/27/2008,Noruz Films,Drama/Musical,Not Rated,115775,16125,115778
405,The Other End of the Line,10/31/2008,MGM,Comedy,PG-13,115504,16087,115505
406,Bra Boys,4/11/2008,BerKela Films,Documentary,R,113730,15840,113731
407,Mere Baap Pahle Aap,6/13/2008,,Comedy,Not Rated,113576,15818,113573
408,Days and Clouds,7/11/2008,Film Movement,Drama ,Not Rated,112103,15613,112101
409,Wendy and Lucy,12/10/2008,Oscilloscope Pictures,Drama/Musical,R,111329,15505,111326
410,Youth Without Youth,12/14/2007,Sony Pictures Classics,Thriller/Suspense,R,110516,15392,110515
411,Pathology,4/18/2008,MGM,Thriller/Suspense,R,109045,15187,109043
412,Trumbo,6/27/2008,Samuel Goldwyn Films,Documentary,PG-13,108280,15081,108282
413,Boy A,7/23/2008,Weinstein Co.,Drama/Musical,R,106368,14814,106365
414,Bustin' Down the Door,7/25/2008,Screen Media Films,Documentary,Not Rated,106100,14777,106099
415,A Jihad for Love,5/21/2008,First Run Features,Documentary,Not Rated,105651,14715,105654
416,Another Gay Sequel,8/29/2008,TLA Releasing,Comedy,Not Rated,104828,14600,104828
417,Aida at La Scala,12/7/2007,Emerging Pictures,Documentary,Not Rated,104819,14599,104821
418,Love Songs,3/21/2008,IFC First Take,Drama/Musical,Not Rated,103970,14481,103974
419,Beaufort,1/18/2008,Kino International,Action/Adventure,Not Rated,102342,14254,102344
420,Greetings from the Shore,9/12/2008,Newstyle Releasing,Drama/Musical,R,94715,13192,94719
421,Momma's Man,1/18/2008,ThinkFilm,Comedy,Not Rated,93045,12959,93046
422,Lola Montes,10/10/2008,Rialto Pictures,Drama/Musical,Not Rated,90774,12643,90777
423,The Unforeseen,2/29/2008,Cinema Guild,Documentary,Not Rated,90287,12575,90289
424,Bab'Aziz - The Prince Who Contemplated His Soul,2/8/2008,Typecast Releasing,Drama/Musical,Not Rated,89672,12489,89671
425,Blindsight,3/5/2008,Spark Entertainment,Documentary,PG,89169,12419,89168
426,Were the World Mine,10/31/2008,SPEAKproductions,Drama/Musical,Not Rated,88788,12366,88788
427,Tuya's Marriage,4/4/2008,Music Box Films,Drama/Musical,Not Rated,88148,12277,88149
428,Louise Bourgeois,6/25/2008,Zeitgeist,Documentary,Not Rated,87997,12256,87998
429,Little Chenier,1/18/2008,Slowhand Cinema,Drama/Musical,R,87939,12248,87941
430,One Day You'll Understand,10/31/2008,Kino International,Drama/Musical,Not Rated,84787,11809,84789
431,"Me & You, Us, Forever",2/15/2008,Five & Two Pictures,Drama/Musical,Not Rated,84093,11712,84092
432,Kabluey,7/4/2008,Regent Releasing,Comedy,PG-13,83506,11630,83503
433,Maria Stuarda at La Scala,3/14/2008,Emerging Pictures,Documentary,Not Rated,83214,11590,83216
434,Dalai Lama Renaissance,5/21/2008,Self Distributed,Documentary,Not Rated,82736,11523,82735
435,Praying with Lior,2/1/2008,First Run Features,Documentary,Not Rated,82553,11498,82556
436,Save Me,9/5/2008,First Run Features,Drama/Musical,Not Rated,82369,11472,82369
437,Humboldt County,9/26/2008,Magnolia Pictures,Comedy,R,82357,11470,82355
438,Ballast,10/1/2008,IFC Films,Drama/Musical,Not Rated,80203,11170,80201
439,Oye Lucky! Lucky Oye!,11/28/2008,UTV Communications,Comedy,Not Rated,80037,11147,80035
440,Il Trittico at Fenice,5/2/2008,Emerging Pictures,Documentary,Not Rated,79842,11120,79842
441,Cover,2/22/2008,Reel Diva Consultants,Thriller/Suspense,PG-13,79436,11064,79440
442,Ping Pong Playa,9/5/2008,IFC Films,Drama/Musical,PG-13,77907,10851,77910
443,Fears of the Dark,10/22/2008,IFC Films,Horror,Not Rated,77876,10846,77874
444,One Day You'll Understand,11/21/2008,City Lights Pictures,Drama/Musical,Not Rated,77368,10775,77365
445,Water Lilies,4/4/2008,Koch Lorber Films,Drama/Musical,Not Rated,77310,10767,77307
446,Love Comes Lately,6/13/2008,Kino International,Drama/Musical,Not Rated,76872,10706,76869
447,A Thousand Years of Good Prayers,9/19/2008,Magnolia Pictures,Drama/Musical,Not Rated,76806,10697,76804
448,America the Beautiful,5/9/2008,First Independent Pictures,Documentary,R,76173,10609,76173
449,Still Life,1/18/2008,New Yorker,Drama/Musical,Not Rated,75985,10583,75986
450,The Stone Angel,7/11/2008,Vivendi Entertainment,Drama/Musical,R,75139,10465,75139
451,August Evening,9/5/2008,Maya Releasing,Drama/Musical,PG-13,74494,10375,74493
452,Midnight Meat Train,8/1/2008,Lionsgate,Thriller/Suspense,R,73548,10243,73545
453,Body of War,3/7/2008,Film Sales Company,Documentary,Not Rated,71716,9988,71714
454,A Four Letter Word,4/4/2008,Embrem Entertainment,Comedy,Not Rated,70864,9870,70867
455,Take Out,6/6/2008,CAVU Releasing,Drama/Musical,Not Rated,69816,9724,69818
456,The Business of Being Born,1/9/2008,International Film Circuit,Documentary,Not Rated,69348,9658,69344
457,"Lust, Caution",9/28/2007,Focus Features,Drama/Musical,NC-17,69253,9645,69251
458,Happy Valley,3/28/2008,Stone Five Studios,Documentary,PG-13,67665,9424,67664
459,Stuck,5/30/2008,ThinkFilm,Thriller/Suspense,R,67505,9402,67506
460,Allah Made Me Funny,10/3/2008,Truly Indie,Documentary,Not Rated,66903,9318,66903
461,CSNY: D?j? Vu,7/25/2008,Roadside Attractions,Documentary,R,65025,9056,65022
462,Stranded: I've Come from a Plane that Crashed on the Mountains,10/22/2008,Zeitgeist,Documentary,Not Rated,64000,8914,64003
